front_id,middle_id,pcb,port,middle_x_mm,middle_y_mm,back_x_mm,back_y_mm
A315,L323,20,9,-252.541562,50.0,-235.321577,36.579357
A316,L324,20,11,-229.722083,50.0,-218.368405,36.579357
A317,L325,20,13,-206.902603,50.0,-201.415234,36.579357
A318,L326,20,15,-184.083124,50.0,-184.462063,36.579357
A319,L327,21,9,-161.263645,50.0,-153.060166,36.579357
A320,L328,21,12,-138.444165,50.0,-127.630409,36.579357
A321,L329,21,14,-115.624686,50.0,-110.677238,36.579357
A322,L330,21,16,-92.805207,50.0,-93.724066,36.579357
A323,L331,22,11,-69.985727,50.0,-53.845584,36.579357
A324,L332,22,13,-47.166248,50.0,-36.892413,36.579357
A325,L333,23,12,47.166248,50.0,36.892413,36.579357
A326,L334,23,14,69.985727,50.0,53.845584,36.579357
A327,L335,24,9,92.805207,50.0,93.724066,36.579357
A328,L336,24,11,115.624686,50.0,110.677238,36.579357
A329,L337,24,13,138.444165,50.0,127.630409,36.579357
A330,L338,24,16,161.263645,50.0,153.060166,36.579357
A331,L339,25,10,184.083124,50.0,184.462063,36.579357
A332,L340,25,12,206.902603,50.0,201.415234,36.579357
A333,L341,25,14,229.722083,50.0,218.368405,36.579357
A334,L342,25,16,252.541562,50.0,235.321577,36.579357
A335,L343,26,10,275.361041,50.0,266.723474,36.579357
A336,L344,26,13,298.180521,50.0,292.153231,36.579357
A337,L345,26,15,321.0,50.0,309.106402,36.579357
A338,L346,19,9,-321.0,30.0,-317.582988,36.579357
A339,L347,19,11,-299.746794,30.0,-300.629816,36.579357
A340,L348,19,14,-278.493587,30.0,-275.200059,36.579357
A341,L349,19,16,-257.240381,30.0,-258.246888,36.579357
A342,L350,20,10,-235.987175,30.0,-226.844991,36.579357
A343,L351,20,12,-214.733968,30.0,-209.89182,36.579357
A344,L352,20,14,-193.480762,30.0,-192.938648,36.579357
A345,L353,20,16,-172.227556,30.0,-175.985477,36.579357
A346,L354,21,10,-150.974349,30.0,-144.58358,36.579357
A347,L355,21,13,-129.721143,30.0,-119.153823,36.579357
A348,L356,21,15,-108.467937,30.0,-102.200652,36.579357
A349,L357,22,9,-87.214731,30.0,-70.798755,36.579357
A350,L358,22,10,-65.961524,30.0,-62.32217,36.579357
A351,L359,23,15,65.961524,30.0,62.32217,36.579357
A352,L360,23,16,87.214731,30.0,70.798755,36.579357
A353,L361,24,10,108.467937,30.0,102.200652,36.579357
A354,L362,24,12,129.721143,30.0,119.153823,36.579357
A355,L363,24,15,150.974349,30.0,144.58358,36.579357
A356,L364,25,9,172.227556,30.0,175.985477,36.579357
A357,L365,25,11,193.480762,30.0,192.938648,36.579357
A358,L366,25,13,214.733968,30.0,209.89182,36.579357
A359,L367,25,15,235.987175,30.0,226.844991,36.579357
A360,L368,26,9,257.240381,30.0,258.246888,36.579357
A361,L369,26,11,278.493587,30.0,275.200059,36.579357
A362,L370,26,14,299.746794,30.0,300.629816,36.579357
A363,L371,26,16,321.0,30.0,317.582988,36.579357
A364,L372,27,1,-321.0,-30.0,-317.582988,-36.579357
A365,L373,27,3,-299.746794,-30.0,-300.629816,-36.579357
A366,L374,27,6,-278.493587,-30.0,-275.200059,-36.579357
A367,L375,27,8,-257.240381,-30.0,-258.246888,-36.579357
A368,L376,28,2,-235.987175,-30.0,-226.844991,-36.579357
A369,L377,28,4,-214.733968,-30.0,-209.89182,-36.579357
A370,L378,28,6,-193.480762,-30.0,-192.938648,-36.579357
A371,L379,28,8,-172.227556,-30.0,-175.985477,-36.579357
A372,L380,29,2,-150.974349,-30.0,-144.58358,-36.579357
A373,L381,29,5,-129.721143,-30.0,-119.153823,-36.579357
A374,L382,29,7,-108.467937,-30.0,-102.200652,-36.579357
A375,L383,30,1,-87.214731,-30.0,-70.798755,-36.579357
A376,L384,30,2,-65.961524,-30.0,-62.32217,-36.579357
A377,L385,31,7,65.961524,-30.0,62.32217,-36.579357
A378,L386,31,8,87.214731,-30.0,70.798755,-36.579357
A379,L387,32,2,108.467937,-30.0,102.200652,-36.579357
A380,L388,32,4,129.721143,-30.0,119.153823,-36.579357
A381,L389,32,7,150.974349,-30.0,144.58358,-36.579357
A382,L390,33,1,172.227556,-30.0,175.985477,-36.579357
A383,L391,33,3,193.480762,-30.0,192.938648,-36.579357
A384,L392,33,5,214.733968,-30.0,209.89182,-36.579357
A385,L393,33,7,235.987175,-30.0,226.844991,-36.579357
A386,L394,34,1,257.240381,-30.0,258.246888,-36.579357
A387,L395,34,3,278.493587,-30.0,275.200059,-36.579357
A388,L396,34,6,299.746794,-30.0,300.629816,-36.579357
A389,L397,34,8,321.0,-30.0,317.582988,-36.579357
A390,L398,27,2,-321.0,-50.0,-309.106402,-36.579357
A391,L399,27,4,-298.180521,-50.0,-292.153231,-36.579357
A392,L400,27,7,-275.361041,-50.0,-266.723474,-36.579357
A393,L401,28,1,-252.541562,-50.0,-235.321577,-36.579357
A394,L402,28,3,-229.722083,-50.0,-218.368405,-36.579357
A395,L403,28,5,-206.902603,-50.0,-201.415234,-36.579357
A396,L404,28,7,-184.083124,-50.0,-184.462063,-36.579357
A397,L405,29,1,-161.263645,-50.0,-153.060166,-36.579357
A398,L406,29,4,-138.444165,-50.0,-127.630409,-36.579357
A399,L407,29,6,-115.624686,-50.0,-110.677238,-36.579357
A400,L408,29,8,-92.805207,-50.0,-93.724066,-36.579357
A401,L409,30,3,-69.985727,-50.0,-53.845584,-36.579357
A402,L410,30,5,-47.166248,-50.0,-36.892413,-36.579357
A403,L411,31,4,47.166248,-50.0,36.892413,-36.579357
A404,L412,31,6,69.985727,-50.0,53.845584,-36.579357
A405,L413,32,1,92.805207,-50.0,93.724066,-36.579357
A406,L414,32,3,115.624686,-50.0,110.677238,-36.579357
A407,L415,32,5,138.444165,-50.0,127.630409,-36.579357
A408,L416,32,8,161.263645,-50.0,153.060166,-36.579357
A409,L417,33,2,184.083124,-50.0,184.462063,-36.579357
